;1;2;3;4;5;6;7;8;9;10;11;12;
A;0,926;0,989;0,912;0,488;0,298;0,437;0,388;0,464;0,376;0,05;0,05;0,05;405
B;0,762;1,09;0,621;0,521;0,574;0,614;0,334;0,457;0,351;0,05;0,05;0,05;405
C;0,05;0,051;0,05;0,051;0,051;0,052;0,053;0,05;0,051;0,051;0,05;0,051;405
D;0,051;0,05;0,05;0,051;0,051;0,051;0,05;0,051;0,051;0,051;0,05;0,051;405
E;0,051;0,05;0,05;0,051;0,051;0,052;0,055;0,051;0,051;0,051;0,051;0,051;405
F;0,051;0,054;0,051;0,051;0,052;0,051;0,056;0,051;0,05;0,052;0,057;0,051;405
G;0,051;0,051;0,051;0,051;0,051;0,051;0,051;0,051;0,051;0,051;0,052;0,051;405
H;0,125;0,133;0,127;0,052;0,05;0,051;0,051;0,051;0,05;0,052;0,052;0,051;405
