;1;2;3;4;5;6;7;8;9;10;11;12;
A;0,052;0,052;0,052;0,052;0,052;0,052;0,052;0,051;0,051;0,051;0,052;0,051;410
B;0,053;0,052;0,052;0,051;0,053;0,052;0,053;0,052;0,052;0,052;0,053;0,052;410
C;0,053;0,053;0,052;0,053;0,053;0,051;0,052;0,052;0,052;0,052;0,053;0,052;410
D;0,053;0,052;0,053;0,053;0,053;0,053;0,053;0,056;0,053;0,052;0,052;0,053;410
E;0,053;0,052;0,052;0,053;0,053;0,053;0,052;0,053;0,053;0,053;0,053;0,054;410
F;0,053;0,052;0,052;0,054;0,054;0,053;0,053;0,053;0,053;0,053;0,053;0,055;410
G;0,072;0,115;0,149;0,183;0,224;0,269;0,313;0,486;0,055;0,053;0,053;0,053;410
H;0,198;0,351;0,503;0,653;0,805;1,003;1,21;1,577;0,051;0,054;0,053;0,053;410
