;1;2;3;4;5;6;7;8;9;10;11;12;
A;0,062;0,115;0,164;0,22;0,267;0,051;0,051;0,039;0,038;0,039;0,039;0,041;410
B;0,075;0,159;0,238;0,323;0,393;0,051;0,052;0,039;0,039;0,04;0,039;0,039;410
C;0,08;0,194;0,292;0,412;0,478;0,052;0,052;0,04;0,039;0,039;0,039;0,041;410
D;0,098;0,246;0,397;0,413;0,664;0,052;0,054;0,04;0,04;0,043;0,039;0,04;410
E;0,133;0,298;0,471;0,638;0,824;0,053;0,052;0,04;0,04;0,045;0,04;0,041;410
F;0,154;0,353;0,53;0,711;0,773;0,052;0,052;0,041;0,042;0,04;0,05;0,041;410
G;0,052;0,052;0,053;0,053;0,056;0,052;0,052;0,052;0,052;0,052;0,052;0,052;410
H;0,04;0,042;0,041;0,052;0,055;0,053;0,053;0,052;0,051;0,053;0,052;0,051;410
