;1;2;3;4;5;6;7;8;9;10;11;12;
A;0,077;0,128;0,174;0,228;0,274;0,051;0,051;0,053;0,068;0,085;0,098;0,121;
B;0,102;0,177;0,255;0,337;0,403;0,051;0,052;0,053;0,084;0,085;0,142;0,167;
C;0,118;0,228;0,318;0,432;0,497;0,052;0,052;0,067;0,089;0,115;0,136;0,176;
D;0,159;0,299;0,44;0,448;0,698;0,052;0,054;0,086;0,123;0,141;0,207;0,266;
E;0,248;0,391;0,576;0,704;0,878;0,053;0,052;0,128;0,229;0,336;0,425;0,561;
F;0,312;0,501;0,655;0,82;0,898;0,052;0,052;0,153;0,266;0,38;0,596;0,72;
G;0,052;0,052;0,053;0,052;0,056;0,052;0,052;0,052;0,052;0,052;0,052;0,052;
H;0,041;0,043;0,042;0,053;0,055;0,053;0,053;0,052;0,051;0,053;0,052;0,051;
