;1;2;3;4;5;6;7;8;9;10;11;12;
A;0,13;0,22;0,301;0,386;0,474;0,053;0,052;0,052;0,052;0,039;0,04;0,039;405
B;0,123;0,265;0,391;0,547;0,616;0,053;0,053;0,052;0,053;0,052;0,052;0,052;405
C;0,124;0,286;0,457;0,664;0,724;0,052;0,052;0,053;0,053;0,052;0,053;0,052;405
D;0,129;0,299;0,469;0,608;0,776;0,053;0,053;0,053;0,053;0,053;0,053;0,054;405
E;0,121;0,274;0,442;0,592;0,748;0,057;0,053;0,055;0,053;0,053;0,053;0,053;405
F;0,116;0,242;0,367;0,473;0,613;0,053;0,053;0,054;0,053;0,053;0,053;0,055;405
G;0,053;0,053;0,053;0,053;0,053;0,054;0,053;0,053;0,054;0,054;0,054;0,053;405
H;0,051;0,053;0,053;0,053;0,052;0,054;0,054;0,052;0,051;0,054;0,054;0,053;405
